StoreID,StoreLocation,Revenue,Profit,AvgMargin,StockOutRate,ReturnRate,Store_Risk
56,Urban,2390319.64,654628.9550278456,0.32641755956304724,0.019508057675996608,0.08227311280746395,Moderate Risk
19,Rural,2389184.16,662376.3458549232,0.3246175418480043,0.019118869492934332,0.08645054031587697,Moderate Risk
37,Rural,2365325.12,655176.1119461489,0.32478420014194215,0.023333333333333334,0.08833333333333333,Moderate Risk
2,Suburban,2304586.53,640469.5112953498,0.3230678454319616,0.02549342105263158,0.09375,High Risk
27,Rural,2304579.71,631909.3454819011,0.3252530295642817,0.02247191011235955,0.07865168539325842,Moderate Risk
33,Rural,2303568.81,645805.3846085111,0.32738264318368193,0.015544041450777202,0.07167530224525043,Moderate Risk
52,Urban,2303399.21,632381.4071358445,0.3245052847721138,0.025884383088869714,0.07506471095772217,Moderate Risk
35,Rural,2299038.26,642291.9985228268,0.3245521413539986,0.02568351284175642,0.07705053852526926,Moderate Risk
22,Suburban,2279336.15,634868.3208447978,0.33061621346067027,0.02871205906480722,0.081214109926169,Moderate Risk
58,Rural,2268536.74,633341.678516537,0.33041567843895964,0.02204585537918871,0.06790123456790123,Reliable
