column,missing_count,missing_pct
default_date,5200,100.0
default_type,5200,100.0
default_event_12m,5200,100.0
director_credit_utilization,1156,22.230769230769234
director_credit_score,1052,20.23076923076923
total_liabilities,851,16.365384615384613
total_equity,825,15.865384615384615
total_assets,789,15.173076923076923
existing_debt_exposure,602,11.576923076923077
annual_revenue,511,9.826923076923077
credit_utilization_business,429,8.25
credit_score_business,321,6.1730769230769225
observation_seq,0,0.0
business_id,0,0.0
snapshot_date,0,0.0
business_age_years,0,0.0
province,0,0.0
legal_entity_type,0,0.0
industry_sector,0,0.0
total_credits_365d,0,0.0
total_credits_180d,0,0.0
total_credits_90d,0,0.0
fixed_monthly_debits,0,0.0
free_cash_flow,0,0.0
num_directors,0,0.0
monthly_revenue,0,0.0
monthly_expenses,0,0.0
avg_daily_credits_90d,0,0.0
avg_weekly_credits_90d,0,0.0
credit_volatility_90d,0,0.0
cash_flow_trend_90d,0,0.0
avg_balance_90d,0,0.0
min_balance_90d,0,0.0
negative_balance_days_90d,0,0.0
negative_balance_frequency_90d,0,0.0
bureau_snapshot_date,0,0.0
total_fees_90d,0,0.0
num_fees_90d,0,0.0
num_eft_payments_90d,0,0.0
num_debit_orders_90d,0,0.0
num_reversed_transactions_90d,0,0.0
num_bounced_payments_90d,0,0.0
debt_service_coverage_ratio,0,0.0
default_flag_bureau_history,0,0.0
judgments_count,0,0.0
arrears_days_bureau,0,0.0
num_credit_facilities,0,0.0
outcome_window_end,0,0.0
outcome_observable,0,0.0
director_judgments_count,0,0.0
model_split,0,0.0
