column,missing_count,missing_pct
default_date,178401,86.12913504431955
default_type,178401,86.12913504431955
director_credit_utilization,51837,25.026070331962224
director_credit_score,45708,22.067087654249466
total_equity,37789,18.2439217503814
total_assets,37420,18.06577448197285
total_liabilities,37355,18.03439352683313
default_event_12m,36406,17.57623158179325
existing_debt_exposure,30984,14.958577139215572
annual_revenue,24740,11.94407431010177
credit_utilization_business,20750,10.017766448448333
credit_score_business,16453,7.943243921750382
arrears_days_bureau,12271,5.9242415464534695
cash_flow_trend_90d,10235,4.941293474692467
business_age_years,6377,3.0787130911689164
observation_seq,0,0.0
legal_entity_type,0,0.0
business_id,0,0.0
snapshot_date,0,0.0
total_credits_365d,0,0.0
total_credits_180d,0,0.0
total_credits_90d,0,0.0
fixed_monthly_debits,0,0.0
free_cash_flow,0,0.0
num_directors,0,0.0
monthly_revenue,0,0.0
monthly_expenses,0,0.0
province,0,0.0
industry_sector,0,0.0
avg_weekly_credits_90d,0,0.0
avg_daily_credits_90d,0,0.0
avg_balance_90d,0,0.0
min_balance_90d,0,0.0
negative_balance_days_90d,0,0.0
credit_volatility_90d,0,0.0
bureau_snapshot_date,0,0.0
total_fees_90d,0,0.0
num_fees_90d,0,0.0
num_eft_payments_90d,0,0.0
num_debit_orders_90d,0,0.0
num_reversed_transactions_90d,0,0.0
num_bounced_payments_90d,0,0.0
debt_service_coverage_ratio,0,0.0
negative_balance_frequency_90d,0,0.0
default_flag_bureau_history,0,0.0
num_credit_facilities,0,0.0
judgments_count,0,0.0
outcome_window_end,0,0.0
outcome_observable,0,0.0
director_judgments_count,0,0.0
model_split,0,0.0
