ProductName,Category,SubCategory,Revenue,NetRevenue,Profit,UnitsSold,ReturnRate,AvgMargin
Product_36,Home,C,34931.9,29924.302799999998,9167.784582908029,145,0.08695652173913043,0.2896071775283115
Product_158,Electronics,A,39237.96,32652.4143,9927.638212594024,198,0.03225806451612903,0.32802008441951797
Product_12,Food,D,40931.1,33717.1705,10453.780105502341,218,0.15789473684210525,0.31770503489952806
Product_100,Food,D,41307.799999999996,34271.7845,10908.809552489645,174,0.1724137931034483,0.3369685522361915
Product_73,Home,A,41529.85,35224.3567,11671.253256404223,226,0.1724137931034483,0.33278089533101457
Product_9,Electronics,B,41765,35689.075,10521.676085558916,185,0.125,0.31727687268561494
Product_50,Food,A,43235.37,37999.0251,12211.092442130668,199,0.0625,0.3198289214982269
Product_149,Beauty,B,43654.37,37067.4268,13071.234752350589,212,0.06060606060606061,0.340486984992164
Product_119,Electronics,C,44582.95,37749.1102,11970.137530139726,243,0.17647058823529413,0.32578651155226995
Product_75,Food,C,47056.57,40305.0425,12144.525707425559,225,0.13157894736842105,0.2987692915946432
