ProductID,ProductName,Category,Avg_Daily_Demand,Avg_LeadTime,StockOutRate,Revenue,Avg_Unit_Price,Current_Stock,Safety_Stock,Reorder_Point,Units_To_Order,Stock_Risk_Value,SKU_Risk
1001,Product_41,Clothing,0.008213552361396304,12,0,3155.5199999999995,262.96,1909,0.05749486652977413,0.15605749486652978,0,0,Healthy
1003,Product_49,Beauty,0.01026694045174538,16,0,4367.460000000001,306.755,836,0.07186858316221766,0.23613963039014374,0,0,Healthy
1003,Product_62,Clothing,0.006844626967830253,17,0,4573,457.3,1127,0.04791238877481177,0.16427104722792607,0,0,Healthy
1004,Product_152,Home,0.01026694045174538,17.5,0,1765.13,92.945,1653,0.07186858316221766,0.2515400410677618,0,0,Healthy
1006,Product_110,Clothing,0.002053388090349076,4,0,136.86,45.62,901,0.014373716632443533,0.022587268993839837,0,0,Healthy
1008,Product_88,Electronics,0.01779603011635866,19.333333333333332,0,5932.860000000001,279.05,808,0.12457221081451061,0.4686287930641113,0,0,Healthy
1010,Product_124,Food,0.007529089664613279,29,0,1965.37,178.67,1317,0.05270362765229295,0.27104722792607805,0,0,Healthy
1011,Product_103,Home,0.01026694045174538,9.333333333333334,0,3451.8299999999995,204.60999999999999,1696,0.07186858316221766,0.1676933607118412,0,0,Healthy
1012,Product_89,Electronics,0.01163586584531143,18.5,0,4735.15,309.89,933,0.08145106091718002,0.2967145790554415,0,0,Healthy
1013,Product_67,Clothing,0.0054757015742642025,21,0,3730.56,466.32,1899,0.038329911019849415,0.15331964407939766,0,0,Healthy
1014,Product_21,Electronics,0.018480492813141684,14.5,0,5141.43,200.285,350,0.1293634496919918,0.39733059548254623,0,0,Healthy
1018,Product_97,Food,0.004791238877481177,15,0,2245.53,320.79,641,0.03353867214236824,0.10540725530458589,0,0,Healthy
1019,Product_29,Food,0.0027378507871321013,18,0,628.64,157.16,1782,0.019164955509924708,0.06844626967830253,0,0,Healthy
1021,Product_116,Electronics,0.004791238877481177,20,0,1125.53,160.79,832,0.03353867214236824,0.1293634496919918,0,0,Healthy
1021,Product_25,Clothing,0.00889801505817933,24.5,0,3575.61,264.23,568,0.06228610540725531,0.2802874743326489,0,0,Healthy
1024,Product_91,Electronics,0.01026694045174538,13,0,2754.7499999999995,146.465,1470,0.07186858316221766,0.2053388090349076,0,0,Healthy
1026,Product_146,Food,0.023956194387405885,9,0,7030.87,214.00666666666666,1432,0.1676933607118412,0.38329911019849416,0,0,Healthy
1027,Product_16,Electronics,0.007529089664613279,15,0,2077.56,243.19333333333333,1457,0.05270362765229295,0.16563997262149213,0,0,Healthy
