SupplierID,Avg_LeadTime,StockOutRate,Revenue,Supplier_Risk
225,14.48611111111111,0.030753968253968252,1834565.28,High Risk
236,14.707060063224446,0.03477344573234984,1765319.54,High Risk
243,14.973154362416107,0.031639501438159155,1926199.75,High Risk
247,15.046859421734796,0.03290129611166501,1914857.45,High Risk
262,14.680608365019012,0.03517110266159696,2056472.99,High Risk
263,15.378461538461538,0.033846153846153845,1836798.53,High Risk
267,15.017017017017016,0.03203203203203203,1910093.57,High Risk
290,14.789581205311542,0.03779366700715015,1824951.92,High Risk
296,14.710337768679631,0.03172978505629478,1892871.32,High Risk
297,14.978702807357212,0.030977734753146177,1932162.54,High Risk
300,15.44141414141414,0.030303030303030304,1819294.75,High Risk
308,15.005655042412817,0.030160226201696512,1964422.25,High Risk
312,14.739878542510121,0.030364372469635626,1834433.05,High Risk
319,14.862525458248472,0.03665987780040733,1753730.14,High Risk
320,15.417540514775977,0.034318398474737846,2036444.92,High Risk
327,15.373869346733668,0.034170854271356785,1932936.28,High Risk
329,14.846544715447154,0.03048780487804878,1920166.92,High Risk
335,14.530912659470069,0.03434739941118744,1963862.19,High Risk
353,15.195503421309873,0.030303030303030304,1929778.27,High Risk
355,14.972301814708691,0.030563514804202482,1972392.6,High Risk
368,15.299507389162562,0.033497536945812804,1977310.16,High Risk
371,15.139979859013092,0.03121852970795569,1912233.41,High Risk
373,14.849484536082475,0.030927835051546393,1780445.35,High Risk
382,15.150515463917525,0.031958762886597936,1843840.66,High Risk
391,15.173399014778326,0.03152709359605911,1928028.3800000001,High Risk
395,15.3837784371909,0.033630069238377844,1886556.41,High Risk
