feature,bin,training_pct,applicant_pct,bin_psi_contribution
fe_free_cash_to_expenses,"(-inf, 0.19]",0.10035794108256171,0.076,0.0067717479286582855
fe_free_cash_to_expenses,"(0.19, 0.251]",0.1003075268455812,0.052,0.03173790103120349
fe_free_cash_to_expenses,"(0.251, 0.299]",0.0984001882131514,0.1,2.5800915312493815e-05
fe_free_cash_to_expenses,"(0.299, 0.344]",0.10110575226443948,0.116,0.0020468147373748874
fe_free_cash_to_expenses,"(0.344, 0.388]",0.09911438990370881,0.088,0.0013219213303008162
fe_free_cash_to_expenses,"(0.388, 0.436]",0.10159308988858454,0.108,0.0003918191188333473
fe_free_cash_to_expenses,"(0.436, 0.49]",0.09879509973616549,0.104,0.0002672346395580271
fe_free_cash_to_expenses,"(0.49, 0.559]",0.10050918379350328,0.112,0.0012438781763159715
fe_free_cash_to_expenses,"(0.559, 0.667]",0.10013107701614936,0.108,0.0005952929099762886
fe_free_cash_to_expenses,"(0.667, 1.5]",0.09968575125615474,0.136,0.011280372624350275
fe_negative_balance_days,"(-inf, 1.0]",0.19318009980341752,0.012658227848101266,0.491979053358626
fe_negative_balance_days,"(1.0, 2.0]",0.13655762219197876,0.05485232067510549,0.07452358288274001
fe_negative_balance_days,"(2.0, 3.0]",0.1465211620209352,0.05907172995780591,0.07944058581275296
fe_negative_balance_days,"(3.0, 4.0]",0.13648201354234923,0.12236286919831224,0.0015418369537143122
fe_negative_balance_days,"(4.0, 5.0]",0.1153451954903641,0.029535864978902954,0.11690011426437064
fe_negative_balance_days,"(5.0, 6.0]",0.08986508056521667,0.08016877637130802,0.0011070786700719186
fe_negative_balance_days,"(6.0, 8.0]",0.11147235243711881,0.1308016877637131,0.0030908717151961764
fe_negative_balance_days,"(8.0, 24.0]",0.07057647394861973,0.510548523206751,0.8706117742380886
fe_operational_distress_events,"(-inf, 1.0]",0.23515970226993968,0.304,0.017675629934952204
fe_operational_distress_events,"(1.0, 2.0]",0.13909471243510257,0.236,0.051231569532662315
fe_operational_distress_events,"(2.0, 3.0]",0.14215266226456308,0.164,0.0031234016100879997
fe_operational_distress_events,"(3.0, 4.0]",0.13034931196128838,0.116,0.0016735268325575236
fe_operational_distress_events,"(4.0, 5.0]",0.10731387670749534,0.072,0.014093480333488303
fe_operational_distress_events,"(5.0, 6.0]",0.08143891661206042,0.052,0.013206578581408683
fe_operational_distress_events,"(6.0, 8.0]",0.1012063780096443,0.044,0.04765131938463908
fe_operational_distress_events,"(8.0, 21.0]",0.06328443973990625,0.012,0.08527232169801016
fe_business_credit_score,"(-inf, 526.0]",0.10081153283935682,0.104,9.92829271403315e-05
fe_business_credit_score,"(526.0, 567.0]",0.09937496849639599,0.104,0.00021039565784671584
fe_business_credit_score,"(567.0, 597.0]",0.0999210309659425,0.108,0.0006281482723688883
fe_business_credit_score,"(597.0, 624.0]",0.10135759530890334,0.104,6.80051587921412e-05
fe_business_credit_score,"(624.0, 639.0]",0.05998286203941731,0.084,0.008087961186150145
fe_business_credit_score,"(639.0, 654.0]",0.06089856679604147,0.044,0.005492372294857025
fe_business_credit_score,"(654.0, 680.0]",0.0978375926205958,0.084,0.002110123377286988
fe_business_credit_score,"(680.0, 711.0]",0.10097955206075575,0.164,0.030561664533532613
fe_business_credit_score,"(711.0, 753.0]",0.10014785691483105,0.108,0.0005927077450665251
fe_business_credit_score,"(753.0, 850.0]",0.09880370314363963,0.06,0.01935491938691445
fe_business_credit_score,MISSING,0.07988473881412034,0.036,0.034979028509771186
fe_balance_to_monthly_expenses,"(-inf, 0.269]",0.10018230238673309,0.144,0.01589801370324233
fe_balance_to_monthly_expenses,"(0.269, 0.436]",0.1002411096082599,0.492,0.6232493505314983
fe_balance_to_monthly_expenses,"(0.436, 0.561]",0.09969504255122529,0.248,0.135152205150364
fe_balance_to_monthly_expenses,"(0.561, 0.679]",0.09994707350062587,0.096,0.00015903781195690465
fe_balance_to_monthly_expenses,"(0.679, 0.795]",0.09964463636134517,0.02,0.12789956512019635
fe_balance_to_monthly_expenses,"(0.795, 0.922]",0.10029151579814001,0.0,0.692390121365262
fe_balance_to_monthly_expenses,"(0.922, 1.066]",0.10008989103861954,0.0,0.6907955392447251
fe_balance_to_monthly_expenses,"(1.066, 1.248]",0.10008989103861954,0.0,0.6907955392447251
fe_balance_to_monthly_expenses,"(1.248, 1.53]",0.09991346937403914,0.0,0.6894006133727143
fe_balance_to_monthly_expenses,"(1.53, 5.582]",0.09990506834239245,0.0,0.6893341961048367
fe_director_credit_score,"(-inf, 524.0]",0.10139960011425307,0.088,0.0018991565857908676
fe_director_credit_score,"(524.0, 568.0]",0.09920694927499706,0.128,0.007337108498986779
fe_director_credit_score,"(568.0, 602.0]",0.10082833476149672,0.116,0.002126624091902174
fe_director_credit_score,"(602.0, 629.0]",0.09011710939731506,0.084,0.0004299914461007584
fe_director_credit_score,"(629.0, 656.0]",0.08777324125880001,0.112,0.005905083144179776
fe_director_credit_score,"(656.0, 690.0]",0.10112236839894484,0.124,0.004665897856592941
fe_director_credit_score,"(690.0, 735.0]",0.09989582808273266,0.132,0.00894659796434047
fe_director_credit_score,"(735.0, 850.0]",0.09889611371540905,0.124,0.005678790856037261
fe_director_credit_score,MISSING,0.22076045499605154,0.092,0.11270269005466764
fe_business_credit_utilization,"(-inf, 0.197]",0.10052590016297865,0.06,0.020914235547134685
fe_business_credit_utilization,"(0.197, 0.311]",0.10043348959120924,0.2,0.06858356830754923
fe_business_credit_utilization,"(0.311, 0.394]",0.1000470453819917,0.14,0.013424268399773594
fe_business_credit_utilization,"(0.394, 0.467]",0.10017305979804089,0.172,0.0388292982853393
fe_business_credit_utilization,"(0.467, 0.502]",0.04952366550733404,0.072,0.00841099213523655
fe_business_credit_utilization,"(0.502, 0.537]",0.04987650587227179,0.064,0.0035214533827725696
fe_business_credit_utilization,"(0.537, 0.61]",0.1012231799317842,0.12,0.003195138086193755
fe_business_credit_utilization,"(0.61, 0.692]",0.09927415696355663,0.056,0.024775908627304184
fe_business_credit_utilization,"(0.692, 0.806]",0.10002184249878186,0.056,0.02553429289634065
fe_business_credit_utilization,"(0.806, 1.3]",0.09942537426281567,0.008,0.23038881764515443
fe_business_credit_utilization,MISSING,0.09947578002923535,0.052,0.03079613698009872
credit_volatility_90d,"(-inf, 0.137]",0.10042508863013928,0.009216589861751152,0.21784301297714484
